id,isForwarder,isUpgradeable,repoAddress,repoName,organizationId,network
0x6923da1b289fa8f4b4d92631a588218f0ba7987e,False,False,,evm-script-registry,0x94a3d4ec52b6749da62b5c9f109ce5e3d889eed8,mainnet
0x69297d3522cca5cb6533769e146a164ac002348a,False,False,,evm-script-registry,0x46030c5b1f7ba850f0f8415339f116b9c0fec3b2,mainnet
0x692990e44f4d18a25d061724abe620b1be18adc6,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0xf566ca11d9332ea5cb8cdb809f8f9d350e0a2edd,mainnet
0x692ac3cb07bd23d53fe87a11060d86d806a869e9,True,True,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,token-manager,0x273b42ec915f0f3ae8228499bbd2124efda11ec8,mainnet
0x69340ead69e69ad93d1ad999ddb9db074afd0617,True,True,0x52ac38791ef1561b172ca89d7115f178d058e57b,agent,0xee2d0fc2052cc8380c045ad4232f7f673d9cca97,mainnet
0x6945347a37a1262b2a29875bd23625f597d62cf7,False,True,,kernel,0x6945347a37a1262b2a29875bd23625f597d62cf7,mainnet
0x6946fca0c653c1cbd91204e87cefe4e38ff256d7,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0x151f11b572f84f06470b40cccd4b5a9afd7c49f1,mainnet
0x694bc7dc6b4cc2c95b4e72c588cda30198e1ec8e,True,True,0xb64a898aa313e8e40b4ce16e964f0120e9fc5ee4,dandelion-voting,0x043ff5e02fa024481da06ebdc786a89a147651a1,mainnet
0x694db73cb8ec1da1a387d3cf0cc5d02a73efa5a5,False,True,0x1fe9e2ca520967521f644caa87c5aed34bd6e049,rewards,0xb7eebee00321ac63c4ebd82e6d05ee061b5a7ede,mainnet
0x694f53b905f9278c2ee6e9ff04cf13ca22d49c1d,False,True,,acl,0xb54c19fa908ae2fb6b98b0f21da743ca9e4dfe0d,mainnet
0x69514c949b0ab46483489d29b547f3a34a654a5c,False,True,0xe73671913a7860c0fbdc3987871c1eff732916bf,vault,0x0f74c9aad8212be95050fad7569b51c96d6e7755,mainnet
0x6951528a4e3dbc88f878c1570f79c4a52339316d,False,True,0xe5cbf0786494680ef35fc6e51b08cbb4f4c638ae,token-request,0xff6ca8be2e3b7727d92f1d057a86e80ebfb4452a,mainnet
0x695332d41c11eb894fae90227101464aaf1c343c,False,True,0xe73671913a7860c0fbdc3987871c1eff732916bf,vault,0xc9e5515e8c69cffdc31dc0a5606eeee17563acc9,mainnet
0x69545cd717d87b4eba99324b77dd365845b45d86,True,True,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,token-manager,0xab2ac3580c3ce12ae9c345c3cc90057afa243ecb,mainnet
0x6956fae2173df7438db46ea05f54df919e6f29ca,False,True,0x2dab32a4befc9cd6221796ece92e98137c13647a,finance,0x8f8e0bd974f568e8357ccecafe3c71f579b2d395,mainnet
0x6957b16206e728e7795face2e4ed19f508c86e2f,False,True,,acl,0x59d75511f65b5a9a67c8b7a4df7fb6c1ae533bde,mainnet
0x6959d59d43249d1eeea696e934f802ad3890018a,False,True,0xe73671913a7860c0fbdc3987871c1eff732916bf,vault,0x110810d42d409d526320897399a29ee7b65c1be6,mainnet
0x6967459f6e8edec2aa407d0960448c4069d958b6,False,True,,kernel,0x6967459f6e8edec2aa407d0960448c4069d958b6,mainnet
0x696d8e36750c9876a3625ee085cfe166324df5d5,False,False,,evm-script-registry,0xb56c9c30eaec317ac1565726298abd20f871c74a,mainnet
0x696e40ba67d890422421886633195013b62c9c44,True,True,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,token-manager,0xd6878c9974359cbb67e8583e7a6cafb0fa20a286,mainnet
0x697420dce9b2c5b0b39d9189d4db7e9522633598,False,True,0x2dab32a4befc9cd6221796ece92e98137c13647a,finance,0x7cb674770916daa20a7a03378da7216c4611886c,mainnet
0x6977fe83d494dc68010947e1921b74e10a0a27bf,False,True,,kernel,0x6977fe83d494dc68010947e1921b74e10a0a27bf,mainnet
0x6979e4be4596ad8915c24ff3d03a5852fff6c94b,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0xb08761e39ca6266b3bf86134546b1d4a392d0803,mainnet
0x697a6be11ec3c0e7b0811b1a7b7441bb801124ea,False,True,0x4aa5d6622c7fe568dd3a20026c25e688194ee1be,allocations,0xf01502c336b669c4455e022c4491045afb4f10cc,mainnet
0x697a9f521536258fe255eb780bddda1e225b5177,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0x0bee06b58c924fd56f61626f8ffcfbf32029ac99,mainnet
0x698a697fc1d40e25d3e6a656dc2411e76dfa7667,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0x9ae8d9391b22706a6132469e75445456fd962c84,mainnet
0x698c0b2cd80fcf342fc325a6bd6a98fb889bbc40,False,True,,acl,0xa7a1d78ff8ca9099148beaea2ffd8d6bd368830a,mainnet
0x69909ce8f6c0adf468a950a7819379e55acffa69,False,True,0x0a9be50c24f8536fa11d17a77d0baa4290f720fc,projects,0x368ebd332a09bb9d0b2e9c7a9ed824c334d0f557,mainnet
0x6990f708cc6dbff5e02c87b96d0fe475971238c5,False,True,,kernel,0x6990f708cc6dbff5e02c87b96d0fe475971238c5,mainnet
0x69a03b8d425903c8f09a27ecee3273004939e09c,False,True,0x2dab32a4befc9cd6221796ece92e98137c13647a,finance,0xb79897d5557e388f1cbfa4bcbd7e38b7489aab9e,mainnet
0x69a1709686f9ec21270b4bd82a6e34dad2aa8f28,False,True,,kernel,0x69a1709686f9ec21270b4bd82a6e34dad2aa8f28,mainnet
0x69a2bf410e2e1f4f3faa66aecd7746c5fc0891f2,True,True,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,token-manager,0x3c6eb18dd678362570869baa35d82c7a777f1c73,mainnet
0x69a7f907ecfd70c5219ddb5f973885913a5e3a73,False,True,0xe73671913a7860c0fbdc3987871c1eff732916bf,vault,0xff6aef8271ecdd32a2d552a64d3ecb35baec3e9e,mainnet
0x69aa74f62acecb1b3af168b3ac31904727b9437c,True,True,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0x8ad2ff3a67ed3299935a6b27fa36ed4dcf55aabc,mainnet
