id,memberCount,proposalCount,rageQuitCount,summoner,summoningTime,timestamp,name,totalGas,version,voteCount,network
0xf556458cd4043b95bf7a0e3f89e9d78febdd5b72,0,0,0,0x52d79dc82a45b8bec3783d352c5cc49b083bd949,1575967984,1575967984,FREEVIRGIL,33550770000000000,1,0,mainnet
0xf7ca63ef8a17379d5d50e5ec6d5845dc58c3a64a,0,0,0,0xccb74148d315b0397da4e3c7482036dbadd762e5,1584075877,1584075877,SneakerDAO,691147716000000000,1,0,mainnet
0xf8484b3d9e8189d4743b0ecf35a87c58b76cee7b,0,0,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,1594417251,1594417294,Metaverse DAO,3512421000000000,2,0,mainnet
0xfac8b74cfccbaf1c308d83f75832be860dd288c1,0,1,2,0xcc1adda87afde151eaecec718661eaa5e5402628,1583026764,1583026764,DAOjones,8398574000000000,1,1,mainnet
0xfc68a27ad5068ceacbc08a0d513f22a753878748,0,1,0,0x439116ccdcb4c7ddc68dbc1cc16332e955f1824f,1586273701,1586275185,test,3579330000000000,2,0,mainnet
0xfdd6d5c17d5d0fff346554a657f183b9a03720ea,0,1,0,0x9d31e30003f253563ff108bc60b16fdf2c93abb5,1603023910,1603023938,Sprout,27612901000000000,2,0,mainnet
0x0a54ce881647037867022ae592a404e1de34de0b,0,15,0,0x1b1e924a0a9c86a9023be9791bb81ecfb8cc4011,1599614540,1599614570,EmpanaDAO,17711022000000000,2,15,xdai
0x0dc128b2c7f6db23b1402bdaf7f98225bcdad7a5,0,0,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,1597460165,1597460195,Braid Guild,187794000000000,2,0,xdai
0x1a28d5a16d11a1362d9203e8092af8345263425c,0,5,1,0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,1596226400,1596226445,Quick DAO 9000,114708289000000000,2,3,xdai
0x1cd2cec56354c80c56009e242982eee6ad780877,0,0,0,0xd4225802b22aa19f97bfce638548dd1d3237029f,1603882600,1603882875,debookDAO,510000000000000,2,0,xdai
0x20c846db20b959b27bffa96b939c35f2422a4a82,0,79,6,0xced608aa29bb92185d9b6340adcbfa263dae075b,1595885130,1595885200,Xdai Hot Lunch,90927562000000000,2,6,xdai
0x22fcc76e8b7327fd7384fe003b2138b5523bee78,0,0,0,0x834912588b275d38d7f5595eaef88badfa606071,1599614710,1599614795,AsisteDao,187740000000000,2,0,xdai
0x2398561ded4265b492047e9e90fb0adf2a810492,0,1,0,0xb34de97d7f39fb175861a82269b5c14869078510,1601932790,1601932820,GlobalDevBrainTrust,789985000000000,2,0,xdai
0x283bdc900b6ec9397abb721c5bbff5ace46e0f50,0,84,25,0xced608aa29bb92185d9b6340adcbfa263dae075b,1597329965,1597330000,HausDAO,140431240162920000,2,106,xdai
0x2eb1aa060a8a684b94c0d64e2f4a5e805375f223,0,7,1,0xf62af1ae0aa967ee61d36f26dae2a79f0de929d4,1599036335,1599036395,BabelTrans,100006894000000000,2,6,xdai
0x39c201681ab651f9197ed90ff32fff911e8d4866,0,2,0,0x9ac9c636404c8d46d9eb966d7179983ba5a3941a,1597841825,1597841910,DAOSquare,2606549000000000,2,1,xdai
0x4088f46f3420a441edb3a8800a1894ec4ca28a3a,0,1,0,0x130093a5aebc07e78e16f0ecef09d1c45afd8178,1596304320,1596304405,WorldLaw Wardens,1178251000000000,2,0,xdai
0x46cc8fd90372cf36869f6a9b455f4209f6faa9bb,0,2,0,0xf62af1ae0aa967ee61d36f26dae2a79f0de929d4,1597744275,1597744320,B-Space,3355232000000000,2,2,xdai
0x4fa2752fbdc23a65dd9f07ff01fa6519a95318b7,0,6,2,0xfcf108ce27f043c8e620b823c2dcfc99e7ee3adf,1602998790,1602998820,Cacophony Worldwide,29361306000000000,2,5,xdai
0x55eafe832507e652c48b25a957bd3a15420aa805,0,12,4,0xa3564677fc4907a15c9a7eae1dbc1ae9ac57b8e1,1599598810,1599598830,HausRanger,51121111000000000,2,10,xdai
0x67f5a8bb3dabe4c71a7353dfeb0ed6ecaa07fb0a,0,6,0,0x4b037687c1c5159285a7defad3681f8e123d2478,1602758405,1602758435,Mapz.guide,4506976000000000,2,0,xdai
0x68a28c2878c1b6831231af419c82d9853fb8e50a,0,0,0,0x39f7e47a5b15a2d28e3e6314aa6bee450a2546dc,1598752830,1598752890,Legal Innovation,187884000000000,2,0,xdai
0x68f54458209ced59c153c75ee8945029f69e445c,0,0,0,0xb34de97d7f39fb175861a82269b5c14869078510,1602107065,1602107105,Sky Fountain Global Poverty Ending Foundation,189097000000000,2,0,xdai
0x6a50ef3d97fc55f15b4ccd0273c9f921d822c7a3,0,4,0,0xfcf108ce27f043c8e620b823c2dcfc99e7ee3adf,1602711735,1602711765,Just mucking around,3425510000000000,2,2,xdai
0x6ba077b7da1f2326e779a614ea823fac502b8676,0,0,0,0x2189f1d9fc5eef0d69aba0bad981e125a98abaec,1604303665,1604303800,DeepDAO xDAI Playground,188010000000000,2,0,xdai
0x78831a8cb88ba0a4685f185f4e153aa667112d4a,0,0,0,0x1165ca7edd8236b5a034b0edf72634ab69267663,1598709090,1598709260,Topos,187686000000000,2,0,xdai
